town,population,male_population,female_population,population_2006,male_population_2006,female_population_2006,district,subdistrict,municipality
KALKANLI,2305,1423,882,1338,811,527,Güzelyurt,Güzelyurt,Güzelyurt
MEVLEVİ,386,207,179,370,217,153,Güzelyurt,Güzelyurt,Güzelyurt
SERHATKÖY,573,280,293,595,300,295,Güzelyurt,Güzelyurt,Güzelyurt
ŞAHİNLER,189,89,100,179,82,97,Güzelyurt,Güzelyurt,Güzelyurt
YAYLA,850,424,426,775,390,385,Güzelyurt,Güzelyurt,Güzelyurt
YUKARI BOSTANCI,1495,788,707,1419,746,673,Güzelyurt,Güzelyurt,Güzelyurt
YUVACIK,214,113,101,214,112,102,Güzelyurt,Güzelyurt,Güzelyurt
ZÜMRÜTKÖY,817,389,428,921,457,464,Güzelyurt,Güzelyurt,Güzelyurt
LEFKE,3009,1600,1409,2908,1571,1337,Güzelyurt,Lefke,Lefke
BADEMLİKÖY,93,47,46,106,53,53,Güzelyurt,Lefke,Lefke
BAĞLIKÖY,200,99,101,222,100,122,Güzelyurt,Lefke,Lefke
CENGİZKÖY,217,106,111,180,97,83,Güzelyurt,Lefke,Lefke
ÇAMLIKÖY,170,79,91,255,124,131,Güzelyurt,Lefke,Lefke
DENİZLİ,460,238,222,573,313,260,Güzelyurt,Lefke,Lefke
DOĞANCI,1299,662,637,1291,654,637,Güzelyurt,Lefke,Lefke
GAZİVEREN,1042,518,524,1002,508,494,Güzelyurt,Lefke,Lefke
TAŞPINAR,181,92,89,212,115,97,Güzelyurt,Lefke,Lefke
YEDİDALGA,669,329,340,767,397,370,Güzelyurt,Lefke,Lefke
YEŞİLIRMAK,458,227,231,410,210,200,Güzelyurt,Lefke,Lefke
YEŞİLYURT,1218,637,581,1278,701,577,Güzelyurt,Lefke,Lefke
AĞILLAR,188,91,97,176,87,89,İskele,İskele,İskele
ALTINOVA,229,115,114,250,115,135,İskele,İskele,İskele
ARDAHAN,330,170,160,350,178,172,İskele,İskele,İskele
AYGÜN,414,209,205,380,187,193,İskele,İskele,İskele
BOĞAZ,157,86,71,295,186,109,İskele,İskele,İskele
BOĞAZİÇİ,514,252,262,475,234,241,İskele,İskele,İskele
BOĞAZTEPE,312,151,161,444,280,164,İskele,İskele,İskele
ERGAZİ,202,94,108,207,92,115,İskele,İskele,İskele
KALECİK,435,225,210,308,171,137,İskele,İskele,İskele
KURTULUŞ,106,55,51,86,44,42,İskele,İskele,İskele
KUZUCUK,344,183,161,283,149,134,İskele,İskele,İskele
ÖTÜKEN,550,267,283,386,192,194,İskele,İskele,İskele
SINIRÜSTÜ,186,99,87,154,85,69,İskele,İskele,İskele
TOPÇUKÖY,310,150,160,336,169,167,İskele,İskele,İskele
TURNALAR,142,75,67,134,72,62,İskele,İskele,İskele
YARKÖY,429,208,221,348,177,171,İskele,İskele,İskele
BÜYÜKKONUK,812,435,377,775,399,376,İskele,Mehmetçik,Büyükkonuk
KAPLICA,389,197,192,408,205,203,İskele,Mehmetçik,Büyükkonuk
KİLİTKAYA,172,82,90,177,87,90,İskele,Mehmetçik,Büyükkonuk
MERSİNLİK,158,80,78,169,87,82,İskele,Mehmetçik,Büyükkonuk
SAZLIKÖY,44,23,21,96,46,50,İskele,Mehmetçik,Büyükkonuk
TUZLUCA,389,216,173,334,165,169,İskele,Mehmetçik,Büyükkonuk
YEDİKONUK,860,436,424,859,450,409,İskele,Mehmetçik,Büyükkonuk
ZEYBEKKÖY,36,18,18,31,16,15,İskele,Mehmetçik,Büyükkonuk
MEHMETÇİK,1249,633,616,1196,621,575,İskele,Mehmetçik,Mehmetçik
BAFRA,1019,706,313,514,344,170,İskele,Mehmetçik,Mehmetçik
BALALAN,89,43,46,97,47,50,İskele,Mehmetçik,Mehmetçik
ÇAYIROVA,406,210,196,430,221,209,İskele,Mehmetçik,Mehmetçik
KUMYALI,686,342,344,666,344,322,İskele,Mehmetçik,Mehmetçik
PAMUKLU,280,141,139,256,129,127,İskele,Mehmetçik,Mehmetçik
KANTARA,21,19,2,3,2,1,İskele,Mehmetçik,Mehmetçik
KALEBURNU,333,158,175,351,157,194,İskele,Yeni,Dipkarpaz
YENİ ERENKÖY,1774,874,900,1640,816,824,İskele,Yeni,Yeni
ADAÇAY,100,51,49,88,44,44,İskele,Yeni,Yeni
AVTEPE,119,56,63,151,67,84,İskele,Yeni,Yeni
BOLTAŞLI,228,118,110,266,143,123,İskele,Yeni,Yeni
DERİNCE,488,250,238,524,264,260,İskele,Yeni,Yeni
ESENKÖY,58,26,32,58,28,30,İskele,Yeni,Yeni
GELİNCİK,496,245,251,458,233,225,İskele,Yeni,Yeni
KURUOVA,132,58,74,145,64,81,İskele,Yeni,Yeni
SİPAHİ,614,295,319,659,322,337,İskele,Yeni,Yeni
TAŞLICA,80,40,40,99,53,46,İskele,Yeni,Yeni
YEŞİLKÖY,799,411,388,777,386,391,İskele,Yeni,Yeni
ZİYAMET,739,387,352,715,365,350,İskele,Yeni,Yeni
