town,population,male_population,female_population,population_2006,male_population_2006,female_population_2006,district,subdistrict,municipality,lat,lon,gm_id
Pi̇rhan,56,33,23,65,43,22,Gazimağusa,Gazimağusa,İnönü,35.1814156,33.7238308,ChIJLcSlBsE13hQRP8-F4qiLBBc
Akdoğan,2471,1284,1187,2581,1326,1255,Gazimağusa,Akdoğan,Akdoğan,35.1072538,33.6958809,ChIJA8dfLUYw3hQR_xGfkMe5K7g
Beyarmudu,1196,618,578,1270,648,622,Gazimağusa,Akdoğan,Beyarmudu,35.0486587,33.6958809,ChIJg1TRneIt3hQR8NVvavMgv4s
Çayönü,660,341,319,652,349,303,Gazimağusa,Akdoğan,Beyarmudu,35.1111537,33.8076302,ChIJg3_HplIz3hQRAUTYNVwTPuI
Güverci̇nli̇k,911,453,458,887,445,442,Gazimağusa,Akdoğan,Beyarmudu,35.0970715,33.8522923,ChIJDbkfx5TL3xQR_buM4Nn1d4w
İnci̇rli̇,384,185,199,432,211,221,Gazimağusa,Akdoğan,Beyarmudu,35.0795529,33.7685332,ChIJwaHU1-Iy3hQRbQRoPDGgLv4
Köprülü,192,98,94,215,119,96,Gazimağusa,Akdoğan,Beyarmudu,35.1123437,33.7573596,ChIJ_ZaSPp0z3hQR3M2gtEPsjGQ
Türkmenköy,782,388,394,834,412,422,Gazimağusa,Akdoğan,Beyarmudu,35.1033617,33.7238308,ChIJ1TLrHNsz3hQR7JLKiFS6h5w
Paşaköy,1883,1029,854,1929,1027,902,Gazimağusa,Akdoğan,Paşaköy,35.1481853,33.6119814,ChIJqbkYhwQ63hQRzd97gRoxA8U
Aslanköy,439,235,204,409,216,193,Gazimağusa,Akdoğan,Paşaköy,35.2008698,33.5839983,ChIJg9Z_PJY53hQRZ3xc1Ig97vQ
Kurudere,403,210,193,86,47,39,Gazimağusa,Akdoğan,Paşaköy,35.18804,33.6483471,ChIJw29psAo33hQRtm1283EgZJY
Ulukışla,836,455,381,876,467,409,Gazimağusa,Akdoğan,Paşaköy,35.2094973,33.63436190000001,ChIJWXbKMR443hQRsD8nK7y1Cw4
Pi̇le,479,255,224,462,239,223,Gazimağusa,Akdoğan,Paşaköy,35.0134077,33.6922186,ChIJPZiA7ZEu3hQRWvpMYkNkR4o
Vadi̇li̇,2129,1045,1084,2117,1068,1049,Gazimağusa,Akdoğan,Vadili,35.1408048,33.6511438,ChIJWd0rCtww3hQR2QZNitRroNA
