town,population,male_population,female_population,population_2006,male_population_2006,female_population_2006,district,subdistrict,municipality,lat,lon,gm_id,greek_name,lat_g,lon_g
Pi̇rhan,56,33,23,65,43,22,Gazimağusa,Gazimağusa,İnönü,35.1841366,33.7259042,ChIJLcSlBsE13hQRP8-F4qiLBBc,Πυργά,35.1814156,33.7238308
Akdoğan,2471,1284,1187,2581,1326,1255,Gazimağusa,Akdoğan,Akdoğan,35.105865,33.6822674,ChIJA8dfLUYw3hQR_xGfkMe5K7g,Λύση,35.1072538,33.6958809
Beyarmudu,1196,618,578,1270,648,622,Gazimağusa,Akdoğan,Beyarmudu,35.0431635,33.708323,ChIJg1TRneIt3hQR8NVvavMgv4s,Πέργαμος,35.0486587,33.6958809
Çayönü,660,341,319,652,349,303,Gazimağusa,Akdoğan,Beyarmudu,35.0959841,33.7945153,ChIJg3_HplIz3hQRAUTYNVwTPuI,Καλοψίδα,35.1111537,33.8076302
Güverci̇nli̇k,911,453,458,887,445,442,Gazimağusa,Akdoğan,Beyarmudu,35.100633,33.8614166,ChIJDbkfx5TL3xQR_buM4Nn1d4w,Αχερίτου,35.0970715,33.8522923
İnci̇rli̇,384,185,199,432,211,221,Gazimağusa,Akdoğan,Beyarmudu,35.0738889,33.7624405,ChIJwaHU1-Iy3hQRbQRoPDGgLv4,Μακράσυκα,35.0795529,33.7685332
Köprülü,192,98,94,215,119,96,Gazimağusa,Akdoğan,Beyarmudu,35.1086164,33.7504572,ChIJ_ZaSPp0z3hQR3M2gtEPsjGQ,Κούκλια,35.1123437,33.7573596
Türkmenköy,782,388,394,834,412,422,Gazimağusa,Akdoğan,Beyarmudu,35.1035974,33.7169544,ChIJ1TLrHNsz3hQR7JLKiFS6h5w,Κοντέα,35.1033617,33.7238308
Paşaköy,1883,1029,854,1929,1027,902,Gazimağusa,Akdoğan,Paşaköy,35.1581388,33.6090186,ChIJqbkYhwQ63hQRzd97gRoxA8U,'Ασκεια,35.1481853,33.6119814
Aslanköy,439,235,204,409,216,193,Gazimağusa,Akdoğan,Paşaköy,35.2043581,33.5892324,ChIJg9Z_PJY53hQRZ3xc1Ig97vQ,Αγγαστίνα,35.2008698,33.5839983
Kurudere,403,210,193,86,47,39,Gazimağusa,Akdoğan,Paşaköy,35.1927809,33.6408025,ChIJw29psAo33hQRtm1283EgZJY,Μουσουλίτα,35.18804,33.6483471
Ulukışla,836,455,381,876,467,409,Gazimağusa,Akdoğan,Paşaköy,35.222767,33.6168368,ChIJWXbKMR443hQRsD8nK7y1Cw4,Μαραθόβουνος,35.2094973,33.63436190000001
Pi̇le,479,255,224,462,239,223,Gazimağusa,Akdoğan,Paşaköy,35.0136,33.6919,ChIJPZiA7ZEu3hQRWvpMYkNkR4o,Πύλα,35.0134077,33.6922186
Vadi̇li̇,2129,1045,1084,2117,1068,1049,Gazimağusa,Akdoğan,Vadili,35.1337935,33.6557314,ChIJWd0rCtww3hQR2QZNitRroNA,Βατυλή,35.1408048,33.6511438
Turunçlu,261,132,129,245,124,121,Gazimağusa,Akdoğan,Vadili,35.1666524,33.6390995,ChIJEWTnjUc33hQRg1nJjH_Xyy0,Στρογγυλός,35.1685234,33.6483471
Geçi̇tkale,1253,635,618,1269,622,647,Gazimağusa,Geçitkale,Geçitkale,35.2605334,33.7321988,ChIJzyALMLpL3hQRN2dyl-_Omes,Λευκόνοικο,35.2687373,33.7405967
Çamlıca,100,50,50,95,47,48,Gazimağusa,Geçitkale,Geçitkale,35.2826438,33.6879107,ChIJs_o8XkZJ3hQR6jIyWSux4y4,Γούφες,35.2796929,33.69029
Çınarlı,183,90,93,185,91,94,Gazimağusa,Geçitkale,Geçitkale,35.3334464,33.7515081,ChIJS2khqQpN3hQR0eDHZNaY1vM,Πλατάνι,35.3329597,33.7685332
Mallıdağ,182,93,89,189,96,93,Gazimağusa,Geçitkale,Geçitkale,35.3327387,33.6890575,ChIJpSAkQYpO3hQR_mw-aZlPcyU,Μελούντα,35.3346195,33.7014716
Nergi̇sli̇,279,148,131,293,150,143,Gazimağusa,Geçitkale,Geçitkale,35.2179,33.6982,ChIJY8VhkfxJ3hQR3TtQUo1M-Y8,Γέναγρα,35.2114584,33.69029
Sütlüce,291,143,148,349,173,176,Gazimağusa,Geçitkale,Geçitkale,35.253814,33.6869593,ChIJX8-_p59J3hQRTt4P10BII_U,Ψυλλάτος,35.2407082,33.69029
Yamaçköy,92,39,53,80,33,47,Gazimağusa,Geçitkale,Geçitkale,35.3287957,33.6780386,ChIJI2lXk_FO3hQRe_DeHtHqp8E,Άγιος Νικόλαος,35.3221764,33.679107
Serdarlı,1055,511,544,1041,496,545,Gazimağusa,Geçitkale,Serdarlı,35.2559205,33.6016675,ChIJ-1FV-PBH3hQR3ig5I4IhXBw,Κίαδος,35.2555267,33.6119814
Ergenekon,96,54,42,96,52,44,Gazimağusa,Geçitkale,Serdarlı,35.3051173,33.6041113,ChIJo-bEGxdG3hQRCtb46LGO9zA,Άγιος Χαρίτων,35.2980352,33.6007892
Gönendere,389,187,202,394,193,201,Gazimağusa,Geçitkale,Serdarlı,35.2640771,33.6614828,ChIJUbtao_9I3hQRGQZYKPBGAHQ,Κνώδαρα,35.2707409,33.6567371
Görneç,507,234,273,515,243,272,Gazimağusa,Geçitkale,Serdarlı,35.2827073,33.5730768,ChIJyYc73gdH3hQRfmMT5CinGZM,Κορνόκηπος,35.275795,33.5784007
Pınarlı,167,86,81,202,101,101,Gazimağusa,Geçitkale,Serdarlı,35.2442596,33.6465368,ChIJOy2AVzlI3hQRAjxOiqnAn5s,Βιτσάδα,35.2317425,33.6567371
Ti̇rmen,197,106,91,184,106,78,Gazimağusa,Geçitkale,Serdarlı,35.3100676,33.6341154,ChIJ5-lxn7NI3hQRAPfDuw7QuFI,Τρυπημένη,35.3034905,33.6455502
Küçükerenköy,339,168,171,257,187,70,Gazimağusa,Geçitkale,Tatlısu,,,ChIJASOqhDZO3hQRLBc-qDsiiEI,Küçükerenköy,35.3630139,33.6682723
