town,greek_name,turkish_name,population,male_population,female_population,district,roc_control,lat,lon,gm_id,is_dimos,population_2006,male_population_2006,female_population_2006,district_raw,subdistrict,municipality,lat_g,lon_g
Episkopeio,Επισκοπειό,Episkopeio,524,272,252,Lefkosia,True,35.0406022,33.2443993,ChIJPyeIfB2o4BQRFz80m27pI0E,False,,,,Λευκωσίας,,,,
Psimolofou,Ψιμολόφου,Psimolofou,1626,831,795,Lefkosia,True,35.0608691,33.2597062,ChIJlUz3wDQd3hQRWORQJtLLxug,False,,,,Λευκωσίας,,,,
Ergates,Εργάτες,Ergates,1792,938,854,Lefkosia,True,35.0541055,33.2436859,ChIJ2an6QrsC3hQR3G-X_ix_7fE,False,,,,Λευκωσίας,,,,
Anageia,Ανάγεια,Anageia,1514,733,781,Lefkosia,True,35.074869,33.2516708,ChIJJU0Ha9EC3hQRegdjVvVwkvA,False,,,,Λευκωσίας,,,,
Pano Deftera,Πάνω Δευτερά,Pano Deftera,2789,1405,1384,Lefkosia,True,35.0817107,33.2672173,ChIJ4TmoKNEc3hQRDdjqzWhlFpY,False,,,,Λευκωσίας,,,,
Kato Deftera,Κάτω Δευτερά,Kato Deftera,2054,966,1088,Lefkosia,True,35.08804,33.2784486,ChIJ8-B-78Ec3hQRJT0ooikq-tg,False,,,,Λευκωσίας,,,,
Agioi Trimithias,Άγιοι Τριμιθιάς,Ayioi Trimithias,1529,758,771,Lefkosia,True,35.1144181,33.2112256,ChIJi0Zg_3YD3hQRXrtXAUWCGkc,False,,,,Λευκωσίας,,,,
Palaiometocho,Παλαιομέτοχο,Palaiometocho,4145,2113,2032,Lefkosia,True,35.1268061,33.1921206,ChIJ59ZxPo0D3hQRHZNAZO7j0XA,False,,,,Λευκωσίας,,,,
Deneia,Δένεια,Deneia,373,181,192,Lefkosia,True,35.166721,33.1442206,ChIJxbOgtsAG3hQRtAkZT4jfeg8,False,,,,Λευκωσίας,,,,
Kokkinotrimithia,Κοκκινοτριμιθιά,Kokkinotrimithia,4077,2030,2047,Lefkosia,True,35.1527991,33.1999632,ChIJkzVn_WgE3hQRNYojATSGI00,False,,,,Λευκωσίας,,,,
Mammari,Μάμμαρη,Mammari,1592,797,795,Lefkosia,True,35.1756676,33.2048502,ChIJaYf2na0F3hQRf1U2pI05jSA,False,,,,Λευκωσίας,,,,
Palaichori Morfou,Παλαιχώρι Μόρφου,Palaichori,686,330,356,Lefkosia,True,34.922316,33.0920661,ChIJ_6Zdr6Sy4BQRcro8W-YqC2Y,False,,,,Λευκωσίας,,,,
Askas,Ασκάς,Askas,170,84,86,Lefkosia,True,34.9294664,33.0777752,ChIJedb9JlNN5xQRsBqPnd6Bm_o,False,,,,Λευκωσίας,,,,
Alona,Άλωνα,Alona,67,28,39,Lefkosia,True,34.9343103,33.0396346,ChIJWwSFrHZN5xQRnB8us6NXQqc,False,,,,Λευκωσίας,,,,
Fterikoudi,Φτερικούδι,Fterikoudi,90,41,49,Lefkosia,True,34.94257,33.069487,ChIJ9Sfv7KhS5xQRk_lALpxTEWk,False,,,,Λευκωσίας,,,,
Polystypos,Πολύστυπος,Polistipos,128,60,68,Lefkosia,True,34.9396288,33.0177915,ChIJmevGTJFN5xQR9HeNf9owX8w,False,,,,Λευκωσίας,,,,
Lagoudera,Λαγουδερά,Lagoudera,84,34,50,Lefkosia,True,34.9621334,33.0103115,ChIJ-eYLkAxS5xQRW7tkNV2B4QM,False,,,,Λευκωσίας,,,,
Saranti,Σαράντι,Saranti,44,20,24,Lefkosia,True,34.96905050000001,32.9997237,ChIJ1-INkw9S5xQRj5cgAx8pdzs,False,,,,Λευκωσίας,,,,
Livadia ,Λιβάδια ,Livadia,18,9,9,Lefkosia,True,34.9461332,33.0230728,ChIJHRVsnI9N5xQRvJ5a15pDgGw,False,,,,Λευκωσίας,,,,
Alithinou,Αληθινού,Alithinou,9,3,6,Lefkosia,True,34.9476497,33.0286702,ChIJpc9mE4FN5xQRpJh5sIHp_EY,False,,,,Λευκωσίας,,,,
Platanistasa,Πλατανιστάσα,Platanistasa,117,49,68,Lefkosia,True,34.9472628,33.0454434,ChIJYblQqoJS5xQRXZX9wXDzMWg,False,,,,Λευκωσίας,,,,
Palaichori Oreinis,Παλαιχώρι Ορεινής,Kalo Chorio,333,165,168,Lefkosia,True,35.0057783,33.1622181,ChIJ84ahLdyr4BQRZpTIu6SjFt0,False,,,,Λευκωσίας,,,,
Xyliatos,Ξυλιάτος,Xyliatos,138,72,66,Lefkosia,True,35.0295134,33.0435849,ChIJZ7IRsYNU5xQRMP9Wlp0O2G4,False,,,,Λευκωσίας,,,,
Agios Georgios ,Άγιος Γεώργιος ,Agios Georgios,26,11,15,Lefkosia,True,35.037046,33.0124773,ChIJk5nuRnVU5xQRnMSYlgeBoQo,False,,,,Λευκωσίας,,,,
Nikitari,Νικητάρι,Nikitari,447,209,238,Lefkosia,True,35.0693398,32.9917153,ChIJpXkziilU5xQR6MA264uh0jk,False,,,,Λευκωσίας,,,,
Vyzakia,Βυζακιά,Vyzakia,347,171,176,Lefkosia,True,35.0770303,33.0148195,ChIJWw0LNLRV5xQRyVfPY114Plk,False,,,,Λευκωσίας,,,,
Agia Marina Xyliatou,Αγία Μαρίνα Ξυλιάτου,Agia Marina,568,270,298,Lefkosia,True,35.04922380000001,33.0566598,ChIJhZFJ0elU5xQRv7gzaJnOUWk,False,,,,Λευκωσίας,,,,
Agioi Iliofotoi,Άγιοι Ηλιόφωτοι,Zeytinlik,60,55,5,Lefkosia,True,35.059456,33.104036,ChIJAdrrw-uq4BQRxkbDup-1J2o,False,,,,Λευκωσίας,,,,
Kato Moni,Κάτω Μονή,Kato Moni,339,168,171,Lefkosia,True,35.0612836,33.0932799,ChIJf-Eh4sSq4BQRBs-gVK2Mgwk,False,,,,Λευκωσίας,,,,
Orounta,Ορούντα,Orounda,604,310,294,Lefkosia,True,35.1028182,33.0941709,ChIJo2E8QhEA3hQRNMhOYniI5gg,False,,,,Λευκωσίας,,,,
Pano Koutrafas,Πάνω Κουτραφάς,Pano Koutraphas,4,3,1,Lefkosia,True,35.0854271,32.9828841,ChIJacNi031W5xQR3y_6dtmIF34,False,,,,Λευκωσίας,,,,
