town,greek_name,turkish_name,population,male_population,female_population,district,roc_control,lat,lon,gm_id,is_dimos,population_2006,male_population_2006,female_population_2006,subdistrict,municipality,lat_g,lon_g
Palaichori Morfou,Παλαιχώρι Μόρφου,Palaichori,686,330,356,Λευκωσίας,True,34.922316,33.0920661,ChIJ_6Zdr6Sy4BQRcro8W-YqC2Y,False,,,,,,,
Askas,Ασκάς,Askas,170,84,86,Λευκωσίας,True,34.9294664,33.0777752,ChIJedb9JlNN5xQRsBqPnd6Bm_o,False,,,,,,,
Alona,Άλωνα,Alona,67,28,39,Λευκωσίας,True,34.9343103,33.0396346,ChIJWwSFrHZN5xQRnB8us6NXQqc,False,,,,,,,
Fterikoudi,Φτερικούδι,Fterikoudi,90,41,49,Λευκωσίας,True,34.94257,33.069487,ChIJ9Sfv7KhS5xQRk_lALpxTEWk,False,,,,,,,
Polystypos,Πολύστυπος,Polistipos,128,60,68,Λευκωσίας,True,34.9396288,33.0177915,ChIJmevGTJFN5xQR9HeNf9owX8w,False,,,,,,,
Lagoudera,Λαγουδερά,Lagoudera,84,34,50,Λευκωσίας,True,34.9621334,33.0103115,ChIJ-eYLkAxS5xQRW7tkNV2B4QM,False,,,,,,,
Saranti,Σαράντι,Saranti,44,20,24,Λευκωσίας,True,34.96905050000001,32.9997237,ChIJ1-INkw9S5xQRj5cgAx8pdzs,False,,,,,,,
Livadia ,Λιβάδια ,Livadia,18,9,9,Λευκωσίας,True,34.9461332,33.0230728,ChIJHRVsnI9N5xQRvJ5a15pDgGw,False,,,,,,,
Alithinou,Αληθινού,Alithinou,9,3,6,Λευκωσίας,True,34.9476497,33.0286702,ChIJpc9mE4FN5xQRpJh5sIHp_EY,False,,,,,,,
Platanistasa,Πλατανιστάσα,Platanistasa,117,49,68,Λευκωσίας,True,34.9472628,33.0454434,ChIJYblQqoJS5xQRXZX9wXDzMWg,False,,,,,,,
Palaichori Oreinis,Παλαιχώρι Ορεινής,Kalo Chorio,333,165,168,Λευκωσίας,True,35.0057783,33.1622181,ChIJ84ahLdyr4BQRZpTIu6SjFt0,False,,,,,,,
Xyliatos,Ξυλιάτος,Xyliatos,138,72,66,Λευκωσίας,True,35.0295134,33.0435849,ChIJZ7IRsYNU5xQRMP9Wlp0O2G4,False,,,,,,,
Agios Georgios ,Άγιος Γεώργιος ,Agios Georgios,26,11,15,Λευκωσίας,True,35.037046,33.0124773,ChIJk5nuRnVU5xQRnMSYlgeBoQo,False,,,,,,,
Nikitari,Νικητάρι,Nikitari,447,209,238,Λευκωσίας,True,35.0693398,32.9917153,ChIJpXkziilU5xQR6MA264uh0jk,False,,,,,,,
Vyzakia,Βυζακιά,Vyzakia,347,171,176,Λευκωσίας,True,35.0770303,33.0148195,ChIJWw0LNLRV5xQRyVfPY114Plk,False,,,,,,,
Agia Marina Xyliatou,Αγία Μαρίνα Ξυλιάτου,Agia Marina,568,270,298,Λευκωσίας,True,35.04922380000001,33.0566598,ChIJhZFJ0elU5xQRv7gzaJnOUWk,False,,,,,,,
Agioi Iliofotoi,Άγιοι Ηλιόφωτοι,Zeytinlik,60,55,5,Λευκωσίας,True,35.059456,33.104036,ChIJAdrrw-uq4BQRxkbDup-1J2o,False,,,,,,,
Kato Moni,Κάτω Μονή,Kato Moni,339,168,171,Λευκωσίας,True,35.0612836,33.0932799,ChIJf-Eh4sSq4BQRBs-gVK2Mgwk,False,,,,,,,
Orounta,Ορούντα,Orounda,604,310,294,Λευκωσίας,True,35.1028182,33.0941709,ChIJo2E8QhEA3hQRNMhOYniI5gg,False,,,,,,,
Pano Koutrafas,Πάνω Κουτραφάς,Pano Koutraphas,4,3,1,Λευκωσίας,True,35.0854271,32.9828841,ChIJacNi031W5xQR3y_6dtmIF34,False,,,,,,,
Kato Koutrafas,Κάτω Κουτραφάς,Aşağı Kurtboğan,17,8,9,Λευκωσίας,True,35.1016736,32.9779895,ChIJr28khG1W5xQRAkzAltKTd3E,False,,,,,,,
Potami,Ποτάμι,Potami,558,283,275,Λευκωσίας,True,35.1046562,33.028789,ChIJZysPEIdV5xQRPkTEx2yKsbo,False,,,,,,,
Pano Zodeia,Πάνω Ζώδεια,Yukarı Bostancı,15,12,3,Λευκωσίας,True,35.1386371,32.9860159,ChIJMyeRpuj-3RQRDNZiowoWvBo,False,,,,,,,
Akaki,Ακάκι,Akaki,3003,1494,1509,Λευκωσίας,True,35.1337357,33.1288417,ChIJW0sKzh4B3hQRVyWuYgO1WSw,False,,,,,,,
Peristerona ,Περιστερώνα ,Peristerona,2226,1117,1109,Λευκωσίας,True,35.1305014,33.0798116,ChIJjzGq73sA3hQRbrdEi8WlTqQ,False,,,,,,,
Astromeritis,Αστρομερίτης,Astromeritis,2307,1158,1149,Λευκωσίας,True,35.139698,33.0369494,ChIJuUOG2gn_3RQRn-GxowHTJbo,False,,,,,,,
Meniko,Μένικο,Meniko,1023,511,512,Λευκωσίας,True,35.1112587,33.146156,ChIJ4w3urQoB3hQRA_E8SzZXQIY,False,,,,,,,
Spilia,Σπήλια,Spilia,123,56,67,Λευκωσίας,True,34.9666909,32.9549718,ChIJUWHqgy9O5xQRZswvIfG3kc4,False,,,,,,,
Agia Eirini ,Αγία Ειρήνη ,Agia Eirini,27,14,13,Λευκωσίας,True,34.9814562,32.9698159,ChIJ2b7_I-lR5xQR6wxdrjkwDoc,False,,,,,,,
Kannavia,Καννάβια,Kannavia,129,59,70,Λευκωσίας,True,34.9830613,32.9771541,ChIJjTnO3-1R5xQRz9Zj7wdvyuE,False,,,,,,,
Kakopetria,Κακοπετριά,Kakopetria,1274,603,671,Λευκωσίας,True,34.9899859,32.9036838,ChIJuQaiK1ZF5xQRkMfHz2omxLY,False,,,,,,,
Agios Theodoros Soleas,Άγιος Θεόδωρος Σολέας,Ayios Theodoros Soleas,49,25,24,Λευκωσίας,True,35.042596,32.9284861,ChIJUX2KOcJQ5xQRb_-OHaE903Y,False,,,,,,,
Galata,Γαλάτα,Galata,581,277,304,Λευκωσίας,True,34.997626,32.8986815,ChIJyWFmeQdQ5xQRo4JLfRSKhXM,False,,,,,,,
Sinaoros,Σιναόρος,Sina Oros,228,119,109,Λευκωσίας,True,35.0099216,32.8981879,ChIJE_CLmwpQ5xQR773OpdQVmKs,False,,,,,,,
Kaliana,Καλιάνα,Kaliana,200,92,108,Λευκωσίας,True,35.012206,32.8826138,ChIJRfyc47xa5xQRU8XmSMzP55E,False,,,,,,,
Temvria,Τεμβριά,Temvria,498,230,268,Λευκωσίας,True,35.0280035,32.89178,ChIJWWRVJIRa5xQRIjUSkLucz7Y,False,,,,,,,
Korakou,Κοράκου,Korakou,521,248,273,Λευκωσίας,True,35.0403045,32.8857482,ChIJ1Vx7xGRa5xQRaj9Dvt56CJ8,False,,,,,,,
Eyrychou,Ευρύχου,Evrychou,827,385,442,Λευκωσίας,True,35.0427354,32.9012972,ChIJZXElz39a5xQRRreA3NlWhMs,False,,,,,,,
Flasou,Φλάσου,Flasou,240,109,131,Λευκωσίας,True,35.060795,32.8874946,ChIJCVIeKxBa5xQRuDLz2UP16gs,False,,,,,,,
Linou,Ληνού,Linou,161,67,94,Λευκωσίας,True,35.0729964,32.8919527,ChIJXQbXTwJa5xQRxwAM0eVZxmY,False,,,,,,,
Katydata,Κατύδατα,Katydata,114,49,65,Λευκωσίας,True,35.0817895,32.8874154,ChIJ8_CKdPBZ5xQRQzAttTt1wD0,False,,,,,,,
