geo_code,town,population,male_population,female_population,district,is_dimos,lat,lon
4211,Αγία Άννα,339,170,169,Λάρνακας,False,34.9431755,33.4815517
4212,Μοσφιλωτή,1365,674,691,Λάρνακας,False,34.9506826,33.4287225
4213,Ψευδάς,1261,622,639,Λάρνακας,False,34.9512771,33.4631238
4214,Πυργά (τα) Λάρνακας,812,422,390,Λάρνακας,False,34.9260101,33.4313872
4215,Κόρνος,2083,1060,1023,Λάρνακας,False,34.9225644,33.3964523
4216,Δελίκηπος,23,12,11,Λάρνακας,False,34.9159428,33.3620252
4300,Ζύγι,589,311,278,Λάρνακας,False,34.7276131,33.3349628
4301,Μαρί,158,83,75,Λάρνακας,False,34.7414054,33.2989795
4302,Καλαβασός,737,371,366,Λάρνακας,False,34.7724293,33.2959772
4303,Τόχνη,424,208,216,Λάρνακας,False,34.7819948,33.3231306
4304,Χοιροκoιτία,632,310,322,Λάρνακας,False,34.7966222,33.33558
4305,Ψεματισμένος,271,130,141,Λάρνακας,False,34.7676625,33.3461719
4306,Μαρώνι,710,354,356,Λάρνακας,False,34.7572546,33.3573334
4307,Άγιος Θεόδωρος Λάρνακας,663,332,331,Λάρνακας,False,34.7987765,33.3836411
4308,Σκαρίνου,393,192,201,Λάρνακας,False,34.8214575,33.3590151
4309,Κοφίνου,1312,721,591,Λάρνακας,False,34.8256084,33.3893174
4310,Κάτω Λεύκαρα,128,60,68,Λάρνακας,False,34.8633533,33.3146816
4311,Πάνω Λεύκαρα,762,363,399,Λάρνακας,False,34.8673535,33.3053345
4312,Κάτω Δρυς,129,60,69,Λάρνακας,False,34.8516158,33.3045466
4313,Βάβλα,52,17,35,Λάρνακας,False,34.8414268,33.2688594
4314,Λάγεια,28,13,15,Λάρνακας,False,34.8434883,33.2475593
4315,Ορά,206,113,93,Λάρνακας,False,34.8617787,33.19513
4316,Μελίνη,59,34,25,Λάρνακας,False,34.867097,33.1571512
4317,Οδού,213,130,83,Λάρνακας,False,34.8855322,33.1507464
4318,Άγιοι Βαβατσινιάς,131,71,60,Λάρνακας,False,34.8798262,33.190932
4319,Βαβατσινιά,81,42,39,Λάρνακας,False,34.8933235,33.2293042
5000,Λεμεσός,101000,48421,52579,Λεμεσού,True,34.6786322,33.0413055
5011,Μέσα Γειτονιά,14477,6943,7534,Λεμεσού,True,34.6982601,33.0455093
5012,Άγιος Αθανάσιος,14347,6760,7587,Λεμεσού,True,34.7109373,33.0597452
