geo_code,town,population,male_population,female_population,district,is_dimos,lat,lon,gm_id,english_name,turkish_name
1322,Νικητάρι,447,209,238,Λευκωσίας,False,35.0693398,32.9917153,ChIJpXkziilU5xQR6MA264uh0jk,Nikitari,Nikitari
1323,Βυζακιά,347,171,176,Λευκωσίας,False,35.0770303,33.0148195,ChIJWw0LNLRV5xQRyVfPY114Plk,Vyzakia,Vyzakia
1324,Αγία Μαρίνα Ξυλιάτου,568,270,298,Λευκωσίας,False,35.04922380000001,33.0566598,ChIJhZFJ0elU5xQRv7gzaJnOUWk,Agia Marina,Agia Marina
1325,Άγιοι Ηλιόφωτοι,60,55,5,Λευκωσίας,False,35.059456,33.104036,ChIJAdrrw-uq4BQRxkbDup-1J2o,Agioi Iliofotoi,Zeytinlik
1326,Κάτω Μονή,339,168,171,Λευκωσίας,False,35.0612836,33.0932799,ChIJf-Eh4sSq4BQRBs-gVK2Mgwk,Kato Moni,Kato Moni
1327,Ορούντα,604,310,294,Λευκωσίας,False,35.1028182,33.0941709,ChIJo2E8QhEA3hQRNMhOYniI5gg,Orounda,Orounda
1328,Πάνω Κουτραφάς,4,3,1,Λευκωσίας,False,35.0854271,32.9828841,ChIJacNi031W5xQR3y_6dtmIF34,Pano Koutraphas,Pano Koutraphas
1329,Κάτω Κουτραφάς,17,8,9,Λευκωσίας,False,35.1016736,32.9779895,ChIJr28khG1W5xQRAkzAltKTd3E,Kato Koutrafas,Aşağı Kurtboğan
1330,Ποτάμι,558,283,275,Λευκωσίας,False,35.1046562,33.028789,ChIJZysPEIdV5xQRPkTEx2yKsbo,Potami,Potami
1350,Πάνω Ζώδεια,15,12,3,Λευκωσίας,False,35.1386371,32.9860159,ChIJMyeRpuj-3RQRDNZiowoWvBo,Yukarı Bostancı,Yukarı Bostancı
1360,Ακάκι,3003,1494,1509,Λευκωσίας,False,35.1337357,33.1288417,ChIJW0sKzh4B3hQRVyWuYgO1WSw,Akaki,Akaki
1361,Περιστερώνα Λευκωσίας,2226,1117,1109,Λευκωσίας,False,35.1305014,33.0798116,ChIJjzGq73sA3hQRbrdEi8WlTqQ,Peristerona,Peristerona
1362,Αστρομερίτης,2307,1158,1149,Λευκωσίας,False,35.139698,33.0369494,ChIJuUOG2gn_3RQRn-GxowHTJbo,Astromeritis,Astromeritis
1368,Μένικο,1023,511,512,Λευκωσίας,False,35.1112587,33.146156,ChIJ4w3urQoB3hQRA_E8SzZXQIY,Meniko,Meniko
1400,Σπήλια,123,56,67,Λευκωσίας,False,34.9666909,32.9549718,ChIJUWHqgy9O5xQRZswvIfG3kc4,Spilia,Spilia
1402,Αγία Ειρήνη Λευκωσίας,27,14,13,Λευκωσίας,False,34.9814562,32.9698159,ChIJ2b7_I-lR5xQR6wxdrjkwDoc,Agia Eirini,Agia Eirini
1403,Καννάβια,129,59,70,Λευκωσίας,False,34.9830613,32.9771541,ChIJjTnO3-1R5xQRz9Zj7wdvyuE,Kannavia,Kannavia
1404,Κακοπετριά,1274,603,671,Λευκωσίας,False,34.9899859,32.9036838,ChIJuQaiK1ZF5xQRkMfHz2omxLY,Kakopetria,Kakopetria
1405,Άγιος Θεόδωρος Σολέας,49,25,24,Λευκωσίας,False,35.042596,32.9284861,ChIJUX2KOcJQ5xQRb_-OHaE903Y,Ayios Theodoros Soleas,Ayios Theodoros Soleas
1406,Γαλάτα,581,277,304,Λευκωσίας,False,34.997626,32.8986815,ChIJyWFmeQdQ5xQRo4JLfRSKhXM,Galata,Galata
1407,Σιναόρος,228,119,109,Λευκωσίας,False,35.0099216,32.8981879,ChIJE_CLmwpQ5xQR773OpdQVmKs,Sina Oros,Sina Oros
1408,Καλιάνα,200,92,108,Λευκωσίας,False,35.012206,32.8826138,ChIJRfyc47xa5xQRU8XmSMzP55E,Kaliana,Kaliana
1409,Τεμβριά,498,230,268,Λευκωσίας,False,35.0280035,32.89178,ChIJWWRVJIRa5xQRIjUSkLucz7Y,Temvria,Temvria
1410,Κοράκου,521,248,273,Λευκωσίας,False,35.0403045,32.8857482,ChIJ1Vx7xGRa5xQRaj9Dvt56CJ8,Korakou,Korakou
1411,Ευρύχου,827,385,442,Λευκωσίας,False,35.0427354,32.9012972,ChIJZXElz39a5xQRRreA3NlWhMs,Evrychou,Evrychou
1412,Φλάσου,240,109,131,Λευκωσίας,False,35.060795,32.8874946,ChIJCVIeKxBa5xQRuDLz2UP16gs,Flasou,Flasou
1415,Ληνού,161,67,94,Λευκωσίας,False,35.0729964,32.8919527,ChIJXQbXTwJa5xQRxwAM0eVZxmY,Linou,Linou
1416,Κατύδατα,114,49,65,Λευκωσίας,False,35.0817895,32.8874154,ChIJ8_CKdPBZ5xQRQzAttTt1wD0,Katydata,Katydata
1417,Σκουριώτισσα (Φουκάσα),11,4,7,Λευκωσίας,False,35.0916578,32.885038,ChIJlzIuT-hZ5xQRjlE67ME0T40,Skouriotissa,Skouriotissa
1420,Πεδουλάς,132,67,65,Λευκωσίας,False,34.9686392,32.827564,ChIJRVsXN2dE5xQRf9DkiYNWhVg,Pedoulas,Pedoulas
1421,Μυλικούρι,17,8,9,Λευκωσίας,False,34.9611506,32.7519984,ChIJq8Yw3yVC5xQRlv84elNpq1M,Mylikouri,Mylikouri
1422,Μουτουλλάς,174,79,95,Λευκωσίας,False,34.983339,32.8245664,ChIJx3u4AZJE5xQRgZWMeLLl2C4,Moutoullas,Moutoullas
1423,Οίκος,158,78,80,Λευκωσίας,False,35.0002913,32.8299929,ChIJoWP5gLhE5xQR2OhyINq3j5A,Oikos,Oikos
