geo_code,town,population,male_population,female_population,district,is_dimos
4126,Κλαυδιά,427,205,222,Λάρνακας,False
4127,Αγγλισίδες,1146,588,558,Λάρνακας,False
4128,Μενόγεια,50,22,28,Λάρνακας,False
4202,Αθιένου,5017,2462,2555,Λάρνακας,False
4210,Καλό Χωριό Λάρνακας,1518,752,766,Λάρνακας,False
4211,Αγία Άννα,339,170,169,Λάρνακας,False
4212,Μοσφιλωτή,1365,674,691,Λάρνακας,False
4213,Ψευδάς,1261,622,639,Λάρνακας,False
4214,Πυργά (τα) Λάρνακας,812,422,390,Λάρνακας,False
4215,Κόρνος,2083,1060,1023,Λάρνακας,False
4216,Δελίκηπος,23,12,11,Λάρνακας,False
4300,Ζύγι,589,311,278,Λάρνακας,False
4301,Μαρί,158,83,75,Λάρνακας,False
4302,Καλαβασός,737,371,366,Λάρνακας,False
4303,Τόχνη,424,208,216,Λάρνακας,False
4304,Χοιροκoιτία,632,310,322,Λάρνακας,False
4305,Ψεματισμένος,271,130,141,Λάρνακας,False
4306,Μαρώνι,710,354,356,Λάρνακας,False
4307,Άγιος Θεόδωρος Λάρνακας,663,332,331,Λάρνακας,False
4308,Σκαρίνου,393,192,201,Λάρνακας,False
4309,Κοφίνου,1312,721,591,Λάρνακας,False
4310,Κάτω Λεύκαρα,128,60,68,Λάρνακας,False
4311,Πάνω Λεύκαρα,762,363,399,Λάρνακας,False
4312,Κάτω Δρυς,129,60,69,Λάρνακας,False
4313,Βάβλα,52,17,35,Λάρνακας,False
4314,Λάγεια,28,13,15,Λάρνακας,False
4315,Ορά,206,113,93,Λάρνακας,False
4316,Μελίνη,59,34,25,Λάρνακας,False
4317,Οδού,213,130,83,Λάρνακας,False
4318,Άγιοι Βαβατσινιάς,131,71,60,Λάρνακας,False
4319,Βαβατσινιά,81,42,39,Λάρνακας,False
5000,Λεμεσός,101000,48421,52579,Λεμεσού,True
5011,Μέσα Γειτονιά,14477,6943,7534,Λεμεσού,True
5012,Άγιος Αθανάσιος,14347,6760,7587,Λεμεσού,True
5013,Γερμασόγεια,13421,6494,6927,Λεμεσού,True
5020,Πάνω Πολεμίδια,3470,1699,1771,Λεμεσού,False
5021,Ύψωνας,11117,5529,5588,Λεμεσού,False
5022,Κάτω Πολεμίδια,22369,10903,11466,Λεμεσού,True
5100,Παλόδεια,1568,775,793,Λεμεσού,False
5101,Παραμύθα,569,279,290,Λεμεσού,False
5102,Σπιτάλι,316,148,168,Λεμεσού,False
5103,Φασούλα Λεμεσού,560,261,299,Λεμεσού,False
5104,Μαθικολώνη,174,85,89,Λεμεσού,False
5105,Γεράσα,69,31,38,Λεμεσού,False
5106,Αψιού,208,97,111,Λεμεσού,False
5107,Απεσιά,474,218,256,Λεμεσού,False
5108,Κορφή,199,102,97,Λεμεσού,False
5109,Λιμνάτης,314,144,170,Λεμεσού,False
5110,Καπηλειό,34,16,18,Λεμεσού,False
5120,Μουτταγιάκα,2939,1464,1475,Λεμεσού,False
5121,Αρμενοχώρι,218,104,114,Λεμεσού,False
5122,Φοινικάρια,339,160,179,Λεμεσού,False
5123,Ακρούντα,455,206,249,Λεμεσού,False
5124,Άγιος Τύχων,3455,1724,1731,Λεμεσού,False
5125,Παρεκκλησιά,2738,1333,1405,Λεμεσού,False
5126,Πεντάκωμο,644,318,326,Λεμεσού,False
5127,Μοναγρούλλι,536,260,276,Λεμεσού,False
5128,Μονή,622,321,301,Λεμεσού,False
5129,Πύργος Λεμεσού,2363,1172,1191,Λεμεσού,False
5130,Ασγάτα,417,208,209,Λεμεσού,False
5131,Βάσα Κελλακίου,73,33,40,Λεμεσού,False
5132,Σανίδα,42,21,21,Λεμεσού,False
5133,Πραστιό Κελλακίου,103,51,52,Λεμεσού,False
5134,Κλωνάρι,18,6,12,Λεμεσού,False
5135,Βίκλα,1,0,1,Λεμεσού,False
5136,Κελλάκι,299,148,151,Λεμεσού,False
5137,Ακαπνού,20,10,10,Λεμεσού,False
5138,Επταγώνεια,353,172,181,Λεμεσού,False
