town,district,lat,lon,gm_id
SÜTLÜCE,Gazimağusa,35.2407082,33.69029,ChIJX8-_p59J3hQRTt4P10BII_U
YAMAÇKÖY,Gazimağusa,35.3221764,33.679107,ChIJI2lXk_FO3hQRe_DeHtHqp8E
SERDARLI,Gazimağusa,35.2555267,33.6119814,ChIJ-1FV-PBH3hQR3ig5I4IhXBw
ERGENEKON,Gazimağusa,35.2980352,33.6007892,ChIJo-bEGxdG3hQRCtb46LGO9zA
GÖNENDERE,Gazimağusa,35.2707409,33.6567371,ChIJUbtao_9I3hQRGQZYKPBGAHQ
GÖRNEÇ,Gazimağusa,35.275795,33.5784007,ChIJyYc73gdH3hQRfmMT5CinGZM
PINARLI,Gazimağusa,35.2317425,33.6567371,ChIJOy2AVzlI3hQRAjxOiqnAn5s
TİRMEN,Gazimağusa,35.3034905,33.6455502,ChIJ5-lxn7NI3hQRAPfDuw7QuFI
AKTUNÇ,Gazimağusa,,,
KÜÇÜKERENKÖY,Gazimağusa,,,
YALI,Gazimağusa,,,
AŞAĞI GİRNE,Girne,,,
YUKARI GİRNE,Girne,,,
AŞAĞI KARAMAN,Girne,35.3149411,33.2644093,ChIJc0Z0on0N3hQRzLJNY-kkK-4
BEYLERBEYİ,Girne,35.2968734,33.3542258,ChIJFRSYOaEU3hQRgym5F_XZnto
DOĞANKÖY,Girne,,,
EDREMİT,Girne,35.3346453,33.2559847,ChIJZ09DMp4S3hQRd0ZOf_1ilTc
KARAKUM,Girne,35.3337487,33.3416004,ChIJjWF1a69s3hQRq9ClskzK_00
KARAOĞLANOĞLU,Girne,35.3391989,33.2728331,ChIJFTeHhbES3hQRDSlhDo94ZNo
OZANKÖY,Girne,35.3261677,33.3542258,ChIJWQgBAqsU3hQRDGnebBrZxSQ
ZEYTİNLİK KESİM,Girne,35.3290981,33.2896786,ChIJwVvTLdAS3hQREGDVCh7-Py4
ZEYTİNLİK KÖY,Girne,35.3290981,33.2896786,ChIJwVvTLdAS3hQREGDVCh7-Py4
ÇAĞLAYAN,Girne,,,
ILGAZ,Girne,35.3140157,33.2278976,ChIJwfPO3qkN3hQRRA7HzvR1NmY
MALATYA - İNCESU,Girne,,,
YAYLA,Girne,35.2194604,32.9381321,ChIJMfmr19L73RQRh0aCJUR2yxg
YEŞİLOVA,Girne,,,
YEŞİLTEPE,Girne,35.3442807,33.2208745,ChIJQ37m3RwN3hQRXX8CJYlWe_0
ARAPKÖY,Girne,35.2982601,33.4439588,ChIJ99aDMKZq3hQRBu8Ksl2TwCw
ÇATALKÖY,Girne,35.3153575,33.4047109,ChIJA34q5CVr3hQRg5Hfzht5-RY
AŞAĞI DİKMEN,Girne,,,
YUKARI DİKMEN,Girne,,,
AĞIRDAĞ,Girne,35.2871985,33.2672173,ChIJ67JSUnAS3hQRLQG8XhnW1cY
AKÇİÇEK,Girne,35.2938313,33.1745097,ChIJq-MB6AEM3hQR-l97Vmwy_A4
AŞAĞI TAŞKENT,Girne,35.2738554,33.365447,ChIJ-9GNM_QU3hQRWfij39XCSdc
BOĞAZKÖY,Girne,35.291758,33.2840638,ChIJX0_u6GkS3hQR-1XLGVP2Udo
DAĞYOLU,Girne,35.250621,33.2194699,ChIJyyZGv2cO3hQRMTIGUf-gq2E
GÖÇERİ,Girne,35.2834291,33.2082318,ChIJh1pYrtUN3hQRacUjOhilL48
GÜNGÖR,Girne,35.2661915,33.4215334,ChIJ03YxSXQV3hQR4xFQB-gI_Ow
KÖMÜRCÜ,Girne,35.2857855,33.2559847,ChIJTQMTPfEN3hQRJTxZ743D5oQ
PINARBAŞI,Girne,35.2730184,33.2419422,ChIJSQMEM-YN3hQRS4wByo5E5SU
ŞİRİNEVLER,Girne,35.2644875,33.1745097,ChIJAy0Ii7UO3hQRJ_TtF_VdPxA
YUKARI TAŞKENT,Girne,35.2569465,33.3962986,ChIJz9U6E_8U3hQRanxew9hlx0U
ESENTEPE,Girne,,,
BAHÇELİ,Girne,35.3428587,33.6287673,ChIJ8Qe9QW9P3hQR9NaEanZcrvI
BEŞPARMAK,Girne,35.2975375,33.4775871,ChIJ5YwrdUNA3hQR5J9wzYWE44s
KARAAĞAÇ,Girne,35.3124353,33.5392081,ChIJ7VYHdJRG3hQRvc06gOS-wAA
KARAMAN (YUKARI KARMİ),Girne,,,
ADATEPE,Girne,,,
BAŞPINAR,Girne,,,
KARŞIYAKA,Girne,35.3439517,33.1070309,ChIJI23ralMK3hQRmSYUL86bEWI
KOCATEPE,Girne,,,
SAKARYA,Girne,,,
TINAZTEPE,Girne,,,
TÜRK,Girne,,,
YAVUZ,Girne,,,
AKDENİZ,Girne,35.2907038,32.9775675,ChIJwfPNebbk3RQRQ4wY82BrkXg
ALEMDAĞ,Girne,35.2974502,33.1548332,ChIJr2BEl-EL3hQRuxRFrugXaDI
ÇAMLIBEL,Girne,35.3152032,33.0732741,ChIJKUqtUgji3RQRspS_34LLa1s
GEÇİTKÖY,Girne,35.3446997,33.0648331,ChIJ4xP-0fnh3RQR8AxYXLsvyzE
HİSARKÖY,Girne,35.3032467,33.1042183,ChIJAbvlJ5QJ3hQRTtLtonn2DKU
KARPAŞA,Girne,35.2858449,33.0732741,ChIJ4dnRB3vi3RQR-lNp5vJPO8A
KAYALAR,Girne,35.35837739999999,33.0282472,ChIJ4UZrwHXh3RQR2PaE3-Wo7uw
KILIÇARSLAN,Girne,35.2619306,33.1351527,ChIJD2LWg_gI3hQRPkQCNEuxAgw
KORUÇAM,Girne,35.3425478,33.000095,ChIJx4wIQefj3RQR954Nruf_HOE
KOZAN,Girne,35.3076877,33.12952900000001,ChIJZSJJD2MJ3hQRrXqQjWK3sFg
ÖZHAN,Girne,35.2628117,33.0845277,ChIJf0DUGkwI3hQRtzbRpmnmEnE
SADRAZAMKÖY,Girne,35.382536,32.9494009,ChIJ17BMu43m3RQRUulnzLeP1Gk
TEPEBAŞI,Girne,35.2964917,33.0226174,ChIJh89DvULi3RQRdBBYCLBD6JM
AKÇAY,Güzelyurt,35.188463,33.0395058,ChIJgTNn8n3-3RQRjdbMqU27XTk
AŞAĞI BOSTANCI,Güzelyurt,35.156664,32.9831998,ChIJjbYq_sD-3RQRRBwt-tCPH7k
AYDINKÖY,Güzelyurt,35.1704228,32.9381321,ChIJ8XZ5q1T43RQRzV60qnMopDY
GAYRETKÖY,Güzelyurt,35.1693415,33.1098434,ChIJK62DccsA3hQRAGla_VKsatc
GÜNEŞKÖY,Güzelyurt,35.1783861,32.9522179,ChIJwRmoGRv53RQRTTcfmvPxpBo
İSMET PAŞA,Güzelyurt,,,
KALKANLI,Güzelyurt,35.2377309,33.0226174,ChIJQyuQ1iP93RQRg1qfNPTRskI
LALA MUSTAFA PAŞA,Güzelyurt,,,
MEVLEVİ,Güzelyurt,35.2109599,33.0620193,ChIJ6WxWC5b93RQR_5--axMMlfw
PİYALE PAŞA,Güzelyurt,,,
SERHATKÖY,Güzelyurt,35.1905207,33.1126559,ChIJS4_MUl0H3hQRcIMqx8tFKPE
ŞAHİNLER,Güzelyurt,35.1797005,33.0760876,ChIJcbZPcfb93RQRkUJAV1mCgxU
YAYLA,Güzelyurt,35.2194604,32.9381321,ChIJMfmr19L73RQRh0aCJUR2yxg
YUKARI BOSTANCI,Güzelyurt,35.1386371,32.9860159,ChIJMyeRpuj-3RQRDNZiowoWvBo
YUVACIK,Güzelyurt,35.2116477,33.0198024,ChIJby8zJkT83RQRld-NRrT-uYE
ZÜMRÜTKÖY,Güzelyurt,35.1750763,33.0592054,ChIJCb4haHH-3RQRGM3vjRR4u1E
LEFKE,Güzelyurt,35.0965045,32.8422959,ChIJJcwU6qVZ5xQRkcCTmSDRNms
BADEMLİKÖY,Güzelyurt,35.1565604,32.7576589,ChIJgSNU9gdf5xQRiKQhw6eXsLo
BAĞLIKÖY,Güzelyurt,35.1198031,32.8140914,ChIJufDGSspe5xQRti6m1cYJ7cY
CENGİZKÖY,Güzelyurt,35.1355653,32.8592148,ChIJQezCzERY5xQRDAbxW8MZjdE
ÇAMLIKÖY,Güzelyurt,35.1140935,32.8733117,ChIJAzmtTDVY5xQRUIkSXcYjHX8
DENİZLİ,Güzelyurt,35.1471499,32.8498745,ChIJW2dQ9YxY5xQR7UjsWMVoXM0
DOĞANCI,Güzelyurt,35.1380434,32.9155906,ChIJe0vMruVX5xQRdlKV_XZjxnU
GAZİVEREN,Güzelyurt,35.1674849,32.9155906,ChIJEXCaWzf43RQR7zTW95TGTfo
GEMİKONAĞI,Güzelyurt,35.142762,32.8112705,ChIJw1gDZOdY5xQRzgnyO-yf0b4
TAŞPINAR,Güzelyurt,35.1179217,32.9494009,ChIJSytdCzRW5xQRJUyZzLdv1n4
YEDİDALGA,Güzelyurt,,,
YEŞİLIRMAK,Güzelyurt,35.1667086,32.732254,ChIJ7fWEp8df5xQR6HUUmDmX6gk
YEŞİLYURT,Güzelyurt,35.1483418,32.8817689,ChIJpSgobwpY5xQRwtSdyBiNSQU
İSKELE,İskele,35.297229,33.8969328,ChIJtbgLUJGx3xQRsvnB1Roi2nw
AĞILLAR,İskele,35.3480408,33.8132141,ChIJUSNwLkyt3xQRSomsft-WRec
ALTINOVA,İskele,35.3153248,33.824381,ChIJY7u8o6Oy3xQRg_sVkgyCKqo
ARDAHAN,İskele,35.3555716,33.8969328,ChIJK0xTfYKu3xQRkpKVIOf3KIA
